Targets,Site_length,,,,,,,,,,,,
1.0843,15,,,,,,,,,,,,
1.1102,15,,,,,,,,,,,,
1.1484,22,,,,,,,,,,,,
1.8068,29,,,,,,,,,,,,
0.36,22,,,,,,,,,,,,
1.1475,22,,,,,,,,,,,,
1.8075,29,,,,,,,,,,,,
1.1477,22,,,,,,,,,Site_Length,Average of Targets,StdDev of Targets,Count of Targets
0.356,15,,,,,,,,,8,0.376811019,0.050409338,363
1.1465,22,,,,,,,,,15,0.618198185,0.335149305,1102
0.3532,15,,,,,,,,,22,0.879696539,0.371141037,1127
1.8101,29,,,,,,,,,29,1.808325401,0.001358588,374
0.366,8,,,,,,,,,(blank),,,
0.3586,22,,,,,,,,,Grand Total,0.838087829,0.507692372,2966
1.1432,22,,,,,,,,,,,,
0.4137,15,,,,,,,,,,,,
0.2828,15,,,,,,,,,,,,
1.8001,29,,,,,,,,,,,,
0.3551,22,,,,,,,,,,,,
1.8098,29,,,,,,,,,,,,
1.1384,22,,,,,,,,,,,,
0.3503,22,,,,,,,,,,,,
1.1497,22,,,,,,,,,,,,
0.9607,15,,,,,,,,,,,,
1.1041,15,,,,,,,,,,,,
0.2694,8,,,,,,,,,,,,
1.8082,29,,,,,,,,,,,,
1.1084,15,,,,,,,,,,,,
0.3524,15,,,,,,,,,,,,
0.3577,15,,,,,,,,,,,,
1.8026,29,,,,,,,,,,,,
1.1447,22,,,,,,,,,,,,
0.3808,22,,,,,,,,,,,,
1.8089,29,,,,,,,,,,,,
0.2749,22,,,,,,,,,,,,
1.8073,29,,,,,,,,,,,,
1.1046,15,,,,,,,,,,,,
0.4206,15,,,,,,,,,,,,
0.3482,22,,,,,,,,,,,,
0.2991,8,,,,,,,,,,,,
1.0009,15,,,,,,,,,,,,
1.8025,29,,,,,,,,,,,,
1.8095,29,,,,,,,,,,,,
1.1452,22,,,,,,,,,,,,
1.1456,22,,,,,,,,,,,,
1.1485,22,,,,,,,,,,,,
0.3579,22,,,,,,,,,,,,
0.3561,15,,,,,,,,,,,,
1.8029,29,,,,,,,,,,,,
0.3574,22,,,,,,,,,,,,
1.1453,22,,,,,,,,,,,,
0.3929,15,,,,,,,,,,,,
0.3995,8,,,,,,,,,,,,
1.8059,29,,,,,,,,,,,,
1.1459,22,,,,,,,,,,,,
0.3446,22,,,,,,,,,,,,
0.4187,15,,,,,,,,,,,,
1.1483,22,,,,,,,,,,,,
1.8095,29,,,,,,,,,,,,
1.1467,22,,,,,,,,,,,,
0.4154,22,,,,,,,,,,,,
1.1456,22,,,,,,,,,,,,
0.352,15,,,,,,,,,,,,
1.1465,22,,,,,,,,,,,,
1.1459,22,,,,,,,,,,,,
1.0011,15,,,,,,,,,,,,
1.8083,29,,,,,,,,,,,,
0.423,22,,,,,,,,,,,,
0.408,15,,,,,,,,,,,,
1.1446,22,,,,,,,,,,,,
1.8098,29,,,,,,,,,,,,
0.3578,22,,,,,,,,,,,,
1.1426,22,,,,,,,,,,,,
0.3552,15,,,,,,,,,,,,
0.4249,8,,,,,,,,,,,,
1.8094,29,,,,,,,,,,,,
1.0998,15,,,,,,,,,,,,
0.4346,22,,,,,,,,,,,,
1.1486,22,,,,,,,,,,,,
1.1427,22,,,,,,,,,,,,
0.3824,15,,,,,,,,,,,,
1.8024,29,,,,,,,,,,,,
1.8087,29,,,,,,,,,,,,
0.3588,22,,,,,,,,,,,,
1.1456,22,,,,,,,,,,,,
1.1466,22,,,,,,,,,,,,
0.3047,15,,,,,,,,,,,,
1.111,15,,,,,,,,,,,,
0.3607,22,,,,,,,,,,,,
1.8025,29,,,,,,,,,,,,
1.807,29,,,,,,,,,,,,
1.1048,15,,,,,,,,,,,,
0.4129,22,,,,,,,,,,,,
1.1459,22,,,,,,,,,,,,
1.0913,15,,,,,,,,,,,,
0.43,15,,,,,,,,,,,,
1.1421,22,,,,,,,,,,,,
1.1098,15,,,,,,,,,,,,
0.2742,22,,,,,,,,,,,,
0.3487,15,,,,,,,,,,,,
0.3526,22,,,,,,,,,,,,
1.1458,22,,,,,,,,,,,,
1.1048,15,,,,,,,,,,,,
1.8093,29,,,,,,,,,,,,
0.9963,15,,,,,,,,,,,,
1.8069,29,,,,,,,,,,,,
1.1465,22,,,,,,,,,,,,
0.9582,15,,,,,,,,,,,,
1.0933,15,,,,,,,,,,,,
0.3556,22,,,,,,,,,,,,
0.3926,15,,,,,,,,,,,,
1.8106,29,,,,,,,,,,,,
1.8095,29,,,,,,,,,,,,
1.1055,15,,,,,,,,,,,,
1.1447,22,,,,,,,,,,,,
0.4227,8,,,,,,,,,,,,
1.1765,22,,,,,,,,,,,,
1.1052,15,,,,,,,,,,,,
0.359,22,,,,,,,,,,,,
1.146,22,,,,,,,,,,,,
1.8089,29,,,,,,,,,,,,
0.4283,15,,,,,,,,,,,,
1.1472,22,,,,,,,,,,,,
1.1093,15,,,,,,,,,,,,
1.8082,29,,,,,,,,,,,,
1.0894,15,,,,,,,,,,,,
1.0941,15,,,,,,,,,,,,
0.3931,8,,,,,,,,,,,,
0.3516,15,,,,,,,,,,,,
1.102,15,,,,,,,,,,,,
0.3576,22,,,,,,,,,,,,
1.8086,29,,,,,,,,,,,,
0.3955,15,,,,,,,,,,,,
0.4192,15,,,,,,,,,,,,
1.8086,29,,,,,,,,,,,,
0.3603,8,,,,,,,,,,,,
1.1391,22,,,,,,,,,,,,
1.143,22,,,,,,,,,,,,
0.3543,22,,,,,,,,,,,,
1.809,29,,,,,,,,,,,,
1.1371,22,,,,,,,,,,,,
0.4285,22,,,,,,,,,,,,
0.3572,15,,,,,,,,,,,,
1.1099,15,,,,,,,,,,,,
0.3009,15,,,,,,,,,,,,
0.3601,22,,,,,,,,,,,,
0.3016,15,,,,,,,,,,,,
0.3582,22,,,,,,,,,,,,
0.3591,22,,,,,,,,,,,,
1.0412,15,,,,,,,,,,,,
1.1454,22,,,,,,,,,,,,
0.4229,15,,,,,,,,,,,,
0.3609,22,,,,,,,,,,,,
1.8087,29,,,,,,,,,,,,
1.0804,15,,,,,,,,,,,,
1.1101,15,,,,,,,,,,,,
1.1462,22,,,,,,,,,,,,
1.8099,29,,,,,,,,,,,,
1.0818,15,,,,,,,,,,,,
0.3583,15,,,,,,,,,,,,
0.3517,8,,,,,,,,,,,,
1.1808,22,,,,,,,,,,,,
0.4165,15,,,,,,,,,,,,
0.3907,22,,,,,,,,,,,,
1.1439,22,,,,,,,,,,,,
0.3556,15,,,,,,,,,,,,
1.147,22,,,,,,,,,,,,
0.3558,22,,,,,,,,,,,,
0.406,8,,,,,,,,,,,,
1.8086,29,,,,,,,,,,,,
1.0997,15,,,,,,,,,,,,
0.3506,22,,,,,,,,,,,,
0.4135,15,,,,,,,,,,,,
1.1494,22,,,,,,,,,,,,
1.1191,15,,,,,,,,,,,,
1.1718,22,,,,,,,,,,,,
0.4194,22,,,,,,,,,,,,
0.299,15,,,,,,,,,,,,
1.1469,22,,,,,,,,,,,,
0.3899,8,,,,,,,,,,,,
1.8084,29,,,,,,,,,,,,
1.8095,29,,,,,,,,,,,,
1.002,15,,,,,,,,,,,,
0.3514,22,,,,,,,,,,,,
1.8102,29,,,,,,,,,,,,
1.0836,15,,,,,,,,,,,,
0.3017,22,,,,,,,,,,,,
0.4296,15,,,,,,,,,,,,
1.8079,29,,,,,,,,,,,,
0.2663,22,,,,,,,,,,,,
1.8062,29,,,,,,,,,,,,
1.0907,15,,,,,,,,,,,,
0.41,15,,,,,,,,,,,,
1.8083,29,,,,,,,,,,,,
0.3527,22,,,,,,,,,,,,
1.1108,15,,,,,,,,,,,,
0.302,15,,,,,,,,,,,,
1.1458,22,,,,,,,,,,,,
1.1477,22,,,,,,,,,,,,
0.3011,15,,,,,,,,,,,,
0.3574,22,,,,,,,,,,,,
0.6531,15,,,,,,,,,,,,
1.8079,29,,,,,,,,,,,,
1.0846,15,,,,,,,,,,,,
0.3562,15,,,,,,,,,,,,
1.1452,22,,,,,,,,,,,,
1.8083,29,,,,,,,,,,,,
1.1464,22,,,,,,,,,,,,
0.427,15,,,,,,,,,,,,
1.1379,22,,,,,,,,,,,,
0.3574,22,,,,,,,,,,,,
1.809,29,,,,,,,,,,,,
1.1802,22,,,,,,,,,,,,
0.4025,8,,,,,,,,,,,,
1.8087,29,,,,,,,,,,,,
1.1817,22,,,,,,,,,,,,
0.302,15,,,,,,,,,,,,
1.0911,15,,,,,,,,,,,,
1.8087,29,,,,,,,,,,,,
1.145,22,,,,,,,,,,,,
0.2766,22,,,,,,,,,,,,
0.4209,8,,,,,,,,,,,,
0.3919,15,,,,,,,,,,,,
1.145,22,,,,,,,,,,,,
0.4289,15,,,,,,,,,,,,
1.0847,15,,,,,,,,,,,,
1.809,29,,,,,,,,,,,,
