_id,band_gap,new_band_gap
6141cf0f51c1cbd9654b8870,1.0843,1.07
6141cf1051c1cbd9654b8872,1.1102,1.11
6141cf11cc0e69a0cf28ab35,1.1484,1.14
6141cf11b842c2e72e2f2d48,1.8068,1.79
6141cf11ae4fb853db2e3f14,0.36,0.35
6141cf11cc0e69a0cf28ab37,1.1475,1.14
6141cf12b842c2e72e2f2d4a,1.8075,1.79
6141cf12cc0e69a0cf28ab39,1.1477,1.14
6141cf1202d926221cabc545,0.356,0.35
6141cf13cc0e69a0cf28ab3b,1.1465,1.14
6141cf1302d926221cabc547,0.3532,0.35
6141cf13b842c2e72e2f2d4c,1.8101,1.79
6141cf133ac25c70a5c6c837,0.366,0.35
6141cf1369b0784ffcf8f84f,0.3586,0.35
6141cf13cc0e69a0cf28ab3d,1.1432,1.14
6141cf1531cf3ef3d4a9ed3e,0.4137,0.42
6141cf1502d926221cabc54b,0.2828,0.28
6141cf15c819ca30b196b473,1.8001,1.79
6141cf15ee0a3fd43fb479db,0.3551,0.35
6141cf16b842c2e72e2f2d52,1.8098,1.79
6141cf16a05be5973bd77a67,1.1384,1.14
6141cf16ee0a3fd43fb479dd,0.3503,0.35
6141cf16a05be5973bd77a69,1.1497,1.14
6141cf1651c1cbd9654b8876,0.9607,0.97
6141cf16baaf234b35290186,1.1041,1.11
6141cf173ac25c70a5c6c83d,0.2694,0.28
6141cf17b842c2e72e2f2d54,1.8082,1.79
6141cf17baaf234b35290188,1.1084,1.11
6141cf1731cf3ef3d4a9ed44,0.3524,0.35
6141cf1702d926221cabc54f,0.3577,0.35
6141cf171d648932fbc3428f,1.8026,1.79
6141cf17cc0e69a0cf28ab45,1.1447,1.14
6141cf18ee0a3fd43fb479e1,0.3808,0.39
6141cf18b842c2e72e2f2d56,1.8089,1.79
6141cf1869b0784ffcf8f85b,0.2749,0.28
6141cf189cbada84a86767c3,1.8073,1.79
6141cf18baaf234b3529018c,1.1046,1.11
6141cf1802d926221cabc551,0.4206,0.42
6141cf1969b0784ffcf8f85d,0.3482,0.35
6141cf193ac25c70a5c6c83f,0.2991,0.28
6141cf19baaf234b3529018e,1.0009,1
6141cf191d648932fbc34295,1.8025,1.79
6141cf199cbada84a86767c7,1.8095,1.79
6141cf194e27a1844a5efffe,1.1452,1.14
6141cf19a05be5973bd77a71,1.1456,1.14
6141cf19cc0e69a0cf28ab49,1.1485,1.14
6141cf1969b0784ffcf8f85f,0.3579,0.35
6141cf1a31cf3ef3d4a9ed4a,0.3561,0.35
6141cf1a1d648932fbc34297,1.8029,1.79
